X1,D.ananassae,D.arizonae,D.biarmipes,D.bipectinata,D.busckii,D.elegans,D.erecta,D.eugracilis,D.ficusphila,D.grimshawi,D.hydei,D.kikkawai,D.melanogaster,D.miranda,D.mojavensis,D.navojoa,D.novamexicana,D.obscura,D.persimilis,D.pseudoobscura,D.rhopaloa,D.sechellia,D.serrata,D.simulans,D.suzukii,D.takahashii,D.virilis,D.willistoni,D.yakuba
OG0010622,XP_001953010.2,XP_017855656.1,XP_016952883.1,XP_017104444.1,XP_017845595.1,XP_017124028.1,XP_001981832.1,XP_017079936.1,XP_017052825.1,XP_001994669.1,XP_023171101.2,XP_017017503.1,NP_651365.1,XP_017140513.1,XP_001998332.3,XP_030242844.1,XP_030565685.1,XP_022222547.1,XP_002017079.1,XP_001359292.1,XP_016980575.1,XP_002043908.1,XP_020811981.1,XP_002104884.1,XP_016927153.1,XP_017007468.1,XP_002053629.1,XP_002073863.1,XP_002099073.1
OG0010623,XP_001953056.1,XP_017867696.1,XP_016950748.1,XP_017104712.1,XP_017849576.1,XP_017111633.1,XP_001980317.1,XP_017084600.1,XP_017040124.1,XP_001990173.1,XP_023163794.2,XP_017031771.1,NP_650257.1,XP_017142682.1,XP_001998909.1,XP_030239328.1,XP_030559604.1,XP_022211499.1,XP_002013900.1,XP_001358496.1,XP_016990382.1,XP_002031376.2,XP_020813070.1,XP_002103615.2,XP_016941531.1,XP_017000777.1,XP_002056180.1,XP_002072297.1,XP_002097479.1
OG0010628,XP_001953140.1,XP_017864006.1,XP_016959863.1,XP_017104718.1,XP_017848755.1,XP_017114024.1,XP_001979501.1,XP_017085159.1,XP_017060823.1,XP_001994173.1,XP_023179049.1,XP_017024404.1,NP_650832.1,XP_017145500.1,XP_002000620.2,XP_030240280.1,XP_030562333.1,XP_022216007.1,XP_026850331.1,XP_002138092.1,XP_016972145.1,XP_002032601.2,XP_020814232.1,XP_002102801.1,XP_016935709.1,XP_017007186.1,XP_002056511.1,XP_002072384.2,XP_002096349.2
OG0010630,XP_001953177.1,XP_017873611.1,XP_016959652.1,XP_017104563.1,XP_017849321.1,XP_017113933.1,XP_001979465.1,XP_017085133.1,XP_017060763.1,XP_001994141.2,XP_023174777.1,XP_017020465.1,NP_650862.1,XP_017143995.1,XP_002000589.2,XP_017968692.1,XP_030562412.1,XP_022209915.1,XP_002019672.1,XP_001359868.2,XP_016976318.1,XP_032577602.1,XP_020812920.1,XP_002102764.2,XP_016923648.1,XP_016996359.1,XP_002056544.1,XP_002072351.2,XP_002096387.1
OG0010632,XP_001953182.1,XP_017856596.1,XP_016961395.1,XP_017104774.1,XP_017845948.1,XP_017113734.1,XP_001979460.1,XP_017085154.1,XP_017060825.1,XP_001994334.1,XP_023173824.2,XP_017020418.1,NP_650865.1,XP_017144327.1,XP_002000103.1,XP_030244749.1,XP_030572082.1,XP_022209866.1,XP_002019667.1,XP_001359864.1,XP_016968826.1,XP_002044609.1,XP_020813259.1,XP_002102759.1,XP_016923653.1,XP_016997321.1,XP_002053261.1,XP_002072345.1,XP_002096393.2
OG0010635,XP_001953210.1,XP_017874040.1,XP_016954280.1,XP_017104753.1,XP_017845087.1,XP_017119910.1,XP_001979147.1,XP_017083509.1,XP_017056803.1,XP_001989815.1,XP_023176995.1,XP_017031751.1,NP_649694.1,XP_017141188.1,XP_001999453.1,XP_017962611.1,XP_030556211.1,XP_022220907.1,XP_002019481.1,XP_001359739.2,XP_016991669.1,XP_002038647.1,XP_020818485.1,XP_016033533.1,XP_016939602.1,XP_017005845.1,XP_002054650.1,XP_002070050.1,XP_002096700.1
OG0010636,XP_001953211.1,XP_017874041.1,XP_016954281.1,XP_017104754.1,XP_017845088.1,XP_017119911.1,XP_001979148.1,XP_017083510.1,XP_017056813.1,XP_001989816.1,XP_023176996.1,XP_017031752.1,NP_649695.1,XP_017141189.1,XP_001999452.1,XP_017962654.1,XP_030556212.1,XP_022220918.1,XP_002019482.1,XP_001359740.1,XP_016991670.1,XP_002038648.1,XP_020818486.1,XP_002102444.1,XP_016939603.1,XP_017005846.1,XP_002054651.2,XP_002070048.1,XP_002096699.1
OG0010637,XP_001953299.2,XP_017855765.1,XP_016960930.1,XP_017104669.1,XP_017848944.1,XP_017123987.1,XP_001980892.1,XP_017071850.1,XP_017058566.1,XP_001994348.1,XP_023173711.1,XP_017031606.1,NP_649847.1,XP_017140403.1,XP_002000118.1,XP_017969245.1,XP_030571788.1,XP_022213364.1,XP_002017382.1,XP_001359507.1,XP_016978920.1,XP_002031967.1,XP_020818564.1,XP_002104194.2,XP_016932201.1,XP_017014252.1,XP_002053272.1,XP_002070283.1,XP_002096877.1
OG0010638,XP_001953322.1,XP_017865975.1,XP_016954110.1,XP_017091269.1,XP_017847310.1,XP_017119787.1,XP_001979312.1,XP_017074672.1,XP_017057038.1,XP_001993843.2,XP_023175558.1,XP_017023637.1,NP_650961.2,XP_017142866.1,XP_002001510.2,XP_017958537.1,XP_030562876.1,XP_022231798.1,XP_002023907.1,XP_001358057.2,XP_016970493.1,XP_002044240.1,XP_020813764.1,XP_002102606.1,XP_016936033.1,XP_017003703.1,XP_002058472.1,XP_002074153.1,XP_002096532.1
OG0010641,XP_001953377.1,XP_017860506.1,XP_016959831.1,XP_017098584.1,XP_017839710.1,XP_017120494.1,XP_001980445.1,XP_017076771.1,XP_017041221.1,XP_001989336.1,XP_023165554.2,XP_017030662.1,NP_650171.2,XP_017145377.1,XP_002001945.1,XP_030238761.1,XP_030564884.1,XP_022213418.1,XP_002017370.1,XP_001359501.3,XP_016979610.1,XP_002031506.1,XP_020798689.1,XP_002103748.1,XP_016939924.1,XP_016995839.1,XP_002059213.1,XP_002069503.2,XP_002097352.1
OG0010642,XP_001953426.3,XP_017856564.1,XP_016961534.1,XP_017089291.1,XP_017845291.1,XP_017122791.1,XP_001980820.1,XP_017073305.1,XP_017058787.1,XP_001990072.1,XP_023162358.2,XP_017020466.1,NP_649897.4,XP_017140672.1,XP_001998513.1,XP_030242603.1,XP_030559787.1,XP_022209463.1,XP_002020239.2,XP_001357727.3,XP_016982019.1,XP_002031895.1,XP_020817262.1,XP_002104121.1,XP_016938571.1,XP_017015231.1,XP_002053010.1,XP_002070561.2,XP_002096946.1
OG0010644,XP_001953465.1,XP_017856255.1,XP_016960676.1,XP_017089394.1,XP_017847217.1,XP_017122649.1,XP_001980840.1,XP_017074266.1,XP_017058314.1,XP_001989877.1,XP_023165306.2,XP_017020491.1,NP_649886.1,XP_017142318.1,XP_001998497.2,XP_030243713.1,XP_030559871.1,XP_022209424.1,XP_002020120.2,XP_001357848.1,XP_016981893.1,XP_002031915.1,XP_020813187.1,XP_016035493.1,XP_016926078.1,XP_017010949.1,XP_002052995.1,XP_002069818.1,XP_002096928.1
OG0010645,XP_001953503.2,XP_017856046.1,XP_016953748.1,XP_017102956.1,XP_017844861.1,XP_017130590.1,XP_001979125.1,XP_017085562.1,XP_017042674.1,XP_001990654.1,XP_030078617.1,XP_017031314.1,NP_477498.1,XP_017144860.1,XP_001999775.2,XP_017968790.1,XP_030565117.1,XP_022219818.1,XP_002016958.1,XP_001359214.4,XP_016970650.1,XP_002038618.1,XP_020799394.1,XP_002102416.1,XP_016935483.1,XP_017005800.1,XP_002053511.1,XP_002070808.1,XP_002096728.1
OG0010649,XP_001953546.1,XP_017860566.1,XP_016960096.1,XP_017102928.1,XP_017845231.1,XP_017118675.1,XP_001979737.1,XP_017069261.1,XP_017046805.1,XP_001990725.1,XP_023171064.2,XP_017023418.1,NP_650641.2,XP_017145531.1,XP_001999579.2,XP_017959067.1,XP_030556341.1,XP_022216323.1,XP_002017454.1,XP_001359553.4,XP_016990308.1,XP_032577109.1,XP_020813262.1,XP_016034257.1,XP_016944381.1,XP_017010719.1,XP_002054696.2,XP_002070480.1,XP_002096096.1
OG0010651,XP_001953614.1,XP_017873352.1,XP_016959763.1,XP_017102971.1,XP_017849577.1,XP_017111281.1,XP_001980723.2,XP_017071915.1,XP_017057460.1,XP_001994012.2,XP_023163781.1,XP_017035919.1,NP_649969.1,XP_017143928.1,XP_001999323.2,XP_017963182.1,XP_030558877.1,XP_022216371.1,XP_026850607.1,XP_001357994.3,XP_016990087.1,XP_002031797.1,XP_020813836.1,XP_002104034.1,XP_016935401.1,XP_016996876.1,XP_002056054.2,XP_002072101.2,XP_002097044.1
OG0010652,XP_001953615.1,XP_017873355.1,XP_016961601.1,XP_017102973.1,XP_017849580.1,XP_017111282.1,XP_001980722.1,XP_017071914.1,XP_017057462.1,XP_001994013.1,XP_023163784.1,XP_017035921.1,NP_649970.1,XP_017143929.1,XP_001999322.1,XP_017963260.1,XP_030558878.1,XP_022216483.1,XP_002023825.1,XP_001357993.2,XP_016990100.1,XP_002031796.1,XP_020813839.1,XP_002104033.1,XP_016935403.1,XP_016996878.1,XP_002056053.1,XP_002072100.1,XP_002097045.1
OG0010653,XP_001953616.1,XP_017873347.1,XP_016961523.1,XP_017102969.1,XP_017844809.1,XP_017111269.1,XP_001980721.1,XP_017071912.1,XP_017057459.1,XP_001994014.1,XP_023163779.1,XP_017035918.1,NP_649971.1,XP_017143926.1,XP_001999321.1,XP_017963104.1,XP_030558774.1,XP_022216047.1,XP_002023824.1,XP_001357992.2,XP_016990063.1,XP_002031795.1,XP_020813835.1,XP_002104032.1,XP_016935382.1,XP_016996875.1,XP_002056052.1,XP_002072099.1,XP_002097046.1
OG0010654,XP_001953617.1,XP_017873354.1,XP_016961522.1,XP_017102972.1,XP_017849579.1,XP_017111270.1,XP_001980720.1,XP_017071913.1,XP_017057461.1,XP_001994015.1,XP_023163782.2,XP_017035920.1,NP_649972.1,XP_017143930.1,XP_001999320.2,XP_017963247.1,XP_030558776.1,XP_022216611.1,XP_002023823.1,XP_001357991.2,XP_016990076.1,XP_002031794.2,XP_020813838.1,XP_002104031.2,XP_016935405.1,XP_016996877.1,XP_002056051.1,XP_002072098.2,XP_002097047.1
OG0010655,XP_001953623.1,XP_017873361.1,XP_016960002.1,XP_017102906.1,XP_017846201.1,XP_017111046.1,XP_001980715.1,XP_017071890.1,XP_017057383.1,XP_001995982.1,XP_023163731.1,XP_017035515.1,NP_649976.1,XP_017140284.1,XP_001999315.1,XP_017956177.1,XP_030559312.1,XP_022234455.1,XP_002023818.1,XP_001357986.2,XP_016989961.1,XP_002045377.1,XP_020813877.1,XP_016035360.1,XP_016935380.1,XP_016996819.1,XP_002056046.1,XP_002070715.2,XP_002097052.2
OG0010658,XP_001953645.3,XP_017868828.1,XP_016949938.1,XP_017103825.1,XP_017849104.1,XP_017118574.1,XP_001979800.1,XP_017085114.1,XP_017047156.1,XP_001993764.2,XP_023166059.2,XP_017035923.1,NP_650596.1,XP_017140805.1,XP_002001014.1,XP_017965888.1,XP_030573256.1,XP_022234404.1,XP_026850979.1,XP_001357971.3,XP_016983291.1,XP_002041132.1,XP_020813509.1,XP_002076630.2,XP_016932838.1,XP_016993019.1,XP_002054237.1,XP_023035623.1,XP_002097232.1
OG0010661,XP_001953722.1,XP_017856563.1,XP_016961111.1,XP_017103686.1,XP_017848672.1,XP_017111819.1,XP_001980640.1,XP_017083912.1,XP_017057545.1,XP_001990800.1,XP_023173649.1,XP_017017643.1,NP_650018.1,XP_017142510.1,XP_001998245.1,XP_017954777.1,XP_030564103.1,XP_022219423.1,XP_002016736.1,XP_015037621.1,XP_016989995.1,XP_002031710.1,XP_020817430.1,XP_002103948.1,XP_016941348.1,XP_017005102.1,XP_002055798.1,XP_002073000.1,XP_002097130.1
OG0010662,XP_001953732.1,XP_017873303.1,XP_016960390.1,XP_017103214.1,XP_017849265.1,XP_017130717.1,XP_001979803.1,XP_017084889.1,XP_017054233.1,XP_001990791.1,XP_023175210.2,XP_017017663.1,NP_524382.1,XP_017141438.1,XP_001998237.2,XP_030243592.1,XP_030564012.1,XP_022219449.1,XP_002016727.1,XP_001359085.2,XP_016985014.1,XP_002041135.1,XP_020813867.1,XP_002103109.1,XP_016941342.1,XP_017005064.1,XP_002055805.2,XP_002073010.1,XP_002097235.1
OG0010663,XP_001953733.1,XP_017873297.1,XP_016960388.1,XP_017103208.1,XP_017845511.1,XP_017130713.1,XP_001979804.1,XP_017084887.1,XP_017054187.1,XP_001990790.1,XP_023175199.2,XP_017017660.1,NP_732199.2,XP_017141436.1,XP_001998236.1,XP_030243591.1,XP_030564011.1,XP_022219447.1,XP_002016726.1,XP_002137602.1,XP_016985012.1,XP_002041136.1,XP_020813856.1,XP_016034328.1,XP_016941294.1,XP_017005059.1,XP_002055806.1,XP_002073011.1,XP_002097236.1
OG0010664,XP_001953820.1,XP_017874837.1,XP_016954341.1,XP_017103202.1,XP_017848884.1,XP_017110735.1,XP_001980405.1,XP_017076864.1,XP_017041033.1,XP_001994841.1,XP_023173833.1,XP_017026904.1,NP_524328.1,XP_017142048.1,XP_001999973.1,XP_017959423.1,XP_030553950.1,XP_022214521.1,XP_002023880.1,XP_001358038.1,XP_016979159.1,XP_002031463.1,XP_020814646.1,XP_002103702.1,XP_016941732.1,XP_017000389.1,XP_002054471.1,XP_002074000.1,XP_002097393.1
OG0010665,XP_001953853.1,XP_017861240.1,XP_016952517.1,XP_017103256.1,XP_017846906.1,XP_017113713.1,XP_001982069.1,XP_017084114.1,XP_017039990.1,XP_001994240.1,XP_023175821.2,XP_017036306.1,NP_524471.2,XP_017142935.1,XP_001998750.1,XP_017960278.1,XP_030563784.1,XP_022215113.1,XP_002013479.1,XP_001358787.1,XP_016978503.1,XP_032576970.1,XP_020817711.1,XP_016035946.1,XP_016937781.1,XP_016995498.1,XP_002054825.2,XP_002069593.1,XP_002099318.2
OG0010666,XP_001953865.1,XP_017861793.1,XP_016950389.1,XP_017103242.1,XP_017849471.1,XP_017113943.1,XP_001982080.1,XP_017084095.1,XP_017040147.1,XP_001994946.1,XP_023177109.2,XP_017036339.1,NP_651191.1,XP_017143899.1,XP_002000712.1,XP_017968710.1,XP_030573262.1,XP_022210841.1,XP_002013550.1,XP_001358737.1,XP_016978523.1,XP_002032408.1,XP_020817841.1,XP_002104620.2,XP_016936410.1,XP_017008900.1,XP_002054365.1,XP_002072013.1,XP_002098493.1
OG0010667,XP_001953882.1,XP_017864879.1,XP_016961082.1,XP_017103530.1,XP_017847264.1,XP_017119153.1,XP_001979377.1,XP_017074709.1,XP_017048800.1,XP_001994485.1,XP_023172844.2,XP_017017514.1,NP_650918.1,XP_017142120.1,XP_002001103.1,XP_017962375.1,XP_030553867.1,XP_022209436.1,XP_002013698.1,XP_001358629.2,XP_016983770.1,XP_002043428.1,XP_020799503.1,XP_016033800.1,XP_016942737.1,XP_016996831.1,XP_002054145.1,XP_002072156.1,XP_002096472.2
OG0010669,XP_001953910.1,XP_017856520.1,XP_016949752.1,XP_017102827.1,XP_017845804.1,XP_017114478.1,XP_001981492.1,XP_017083302.1,XP_017052314.1,XP_001993808.1,XP_023175554.2,XP_017034998.1,NP_651595.1,XP_017144354.1,XP_002001544.1,XP_017953592.1,XP_030562727.1,XP_022210899.1,XP_002013725.1,XP_001358603.1,XP_016969309.1,XP_002042984.1,XP_020799720.1,XP_002105197.1,XP_016941505.1,XP_016999099.1,XP_002058506.1,XP_002070249.1,XP_002098738.1
OG0010670,XP_001953936.1,XP_017873989.1,XP_016950298.1,XP_017102806.1,XP_017849601.1,XP_017131035.1,XP_001982157.1,XP_017072530.1,XP_017046426.1,XP_001989937.1,XP_023166649.1,XP_017017441.1,NP_651139.1,XP_017142516.1,XP_001999177.1,XP_017967168.2,XP_030573862.1,XP_022220720.1,XP_002014103.2,XP_001358344.1,XP_016989156.1,XP_002032329.1,XP_020817303.1,XP_002104539.1,XP_016936568.1,XP_017015525.1,XP_002054309.1,XP_002065077.1,XP_002098410.1
OG0010672,XP_001953997.1,XP_017874213.1,XP_016961325.1,XP_017103754.1,XP_017849416.1,XP_017123999.1,XP_001982355.1,XP_017073609.1,XP_017058466.1,XP_001994428.1,XP_023170853.1,XP_017020715.1,NP_650991.1,XP_017143054.1,XP_002001049.1,XP_017964064.1,XP_030573457.1,XP_022221262.1,XP_002012804.1,XP_001358158.2,XP_016991061.1,XP_002032121.1,XP_020817518.1,XP_016035682.1,XP_016938304.1,XP_017007626.1,XP_002054198.1,XP_002073672.1,XP_002098206.1
OG0010673,XP_001954040.1,XP_017874059.1,XP_016959857.1,XP_017104247.1,XP_017846298.1,XP_017131052.1,XP_001982306.1,XP_017082590.1,XP_017058170.1,XP_032595960.1,XP_023168572.2,XP_017023399.1,NP_651019.1,XP_017140335.1,XP_032584109.1,XP_030238408.1,XP_030559196.1,XP_022215193.1,XP_026842282.1,XP_001358558.3,XP_016978575.1,XP_002032168.1,XP_020813338.1,XP_002104389.2,XP_016944325.1,XP_017007406.1,XP_002053782.3,XP_002073705.2,XP_002098258.1
OG0010675,XP_001954053.1,XP_017873530.1,XP_016952623.1,XP_017104249.1,XP_017848845.1,XP_017131499.1,XP_001981792.1,XP_017079932.1,XP_017052638.1,XP_001990475.1,XP_023178923.1,XP_017018488.1,NP_651397.1,XP_017139977.1,XP_002000348.1,XP_017968559.1,XP_030565879.1,XP_022223466.1,XP_002019637.1,XP_001359845.1,XP_016980925.1,XP_002041256.1,XP_020811704.1,XP_002104928.1,XP_016923591.1,XP_016997274.1,XP_002056316.1,XP_002070327.1,XP_002099033.1
OG0010676,XP_001954068.1,XP_017868680.1,XP_016951617.1,XP_017104379.1,XP_017846668.1,XP_017134412.1,XP_026831748.1,XP_017084434.1,XP_017039943.1,XP_001990189.1,XP_023163717.2,XP_017031168.1,NP_650252.1,XP_017139842.1,XP_001998925.1,XP_030239318.1,XP_030559181.1,XP_022211460.1,XP_026845342.1,XP_001358507.1,XP_016976615.1,XP_002031387.2,XP_020813337.1,XP_002103627.1,XP_016932235.1,XP_017005033.1,XP_002056199.1,XP_002070750.1,XP_002097466.1
OG0010679,XP_001954096.1,XP_017870257.1,XP_016949498.1,XP_017102254.1,XP_017848709.1,XP_017113712.1,XP_001979623.1,XP_017084609.1,XP_017040143.1,XP_001990216.1,XP_023166862.1,XP_017035434.1,NP_477453.1,XP_017141021.1,XP_001998957.1,XP_017967465.1,XP_030559558.1,XP_022211666.1,XP_002013849.1,XP_001358527.1,XP_016969179.1,XP_002038209.1,XP_020813293.1,XP_002102926.1,XP_016936359.1,XP_017013603.1,XP_002056224.1,XP_002073531.1,XP_002096214.1
OG0010680,XP_001954114.1,XP_017873210.1,XP_016949820.1,XP_017102003.1,XP_017847965.1,XP_017113590.1,XP_001979644.1,XP_017084458.1,XP_017039905.1,XP_001990235.1,XP_023161167.1,XP_017031802.1,NP_650723.1,XP_017141964.1,XP_001998978.1,XP_017967690.1,XP_030558851.1,XP_022211639.1,XP_002013819.1,XP_001358542.2,XP_016987554.1,XP_032578422.1,XP_020812972.1,XP_016034161.1,XP_016940064.1,XP_017013457.1,XP_002056242.1,XP_002073551.1,XP_002096196.1
OG0010681,XP_001954118.1,XP_017873199.1,XP_016948360.1,XP_017101696.1,XP_017844747.1,XP_017113522.1,XP_001979647.1,XP_017084360.1,XP_017039772.1,XP_001990239.2,XP_023161172.2,XP_017035955.1,NP_650718.2,XP_017145364.1,XP_001998982.2,XP_017953628.2,XP_030559106.1,XP_022211546.1,XP_002013814.1,XP_001358544.3,XP_016987551.1,XP_032578400.1,XP_020813680.1,XP_002102947.1,XP_016943906.1,XP_017013626.1,XP_002056246.1,XP_002069584.1,XP_002096189.1
OG0010683,XP_001954202.1,XP_017856453.1,XP_016949743.1,XP_017090365.1,XP_017848434.1,XP_017119299.1,XP_001980564.1,XP_017083840.1,XP_017062158.1,XP_001994351.1,XP_023173789.2,XP_017037845.1,NP_650073.1,XP_017141698.1,XP_002000121.1,XP_017953525.1,XP_030571870.1,XP_022216438.1,XP_002019823.1,XP_001359978.1,XP_016978307.1,XP_002031622.1,XP_020811397.1,XP_002103866.1,XP_016931022.1,XP_017008535.1,XP_002053275.1,XP_002069950.1,XP_002097210.1
OG0010684,XP_001954212.1,XP_017874557.1,XP_016949777.1,XP_017090364.1,XP_017845520.1,XP_017119288.1,XP_001980571.1,XP_017083940.1,XP_017047216.1,XP_001994358.1,XP_023162217.1,XP_017026672.1,NP_650067.1,XP_017141696.1,XP_002000128.1,XP_017967124.1,XP_030571838.1,XP_022216239.1,XP_002019829.1,XP_001359983.1,XP_016978319.1,XP_002031629.1,XP_020817407.1,XP_002103872.1,XP_016924959.1,XP_017008543.1,XP_002053282.1,XP_002069957.1,XP_002097203.1
OG0010685,XP_001954255.1,XP_017855610.1,XP_016961561.1,XP_017090481.1,XP_017847968.1,XP_017124228.1,XP_001980921.1,XP_017073526.1,XP_017058784.1,XP_001989838.1,XP_023177119.1,XP_017037557.1,NP_649825.1,XP_017141058.1,XP_002000682.1,XP_030244626.1,XP_030556388.1,XP_022221754.1,XP_002019590.1,XP_001359809.3,XP_016980556.1,XP_002031998.2,XP_020813791.1,XP_016035580.1,XP_016927222.1,XP_017014646.1,XP_002054673.2,XP_002069989.1,XP_002096849.1
OG0010686,XP_001954272.1,XP_017866214.1,XP_016961103.1,XP_017090410.1,XP_017848345.1,XP_017123983.1,XP_001980904.1,XP_017073605.1,XP_017058377.1,XP_001990415.2,XP_023169609.1,XP_017037540.1,NP_649835.1,XP_017142702.1,XP_001998398.1,XP_030243978.1,XP_030571889.1,XP_022220785.1,XP_002019609.2,XP_001359823.2,XP_016977659.1,XP_002031977.2,XP_020813800.1,XP_016035566.1,XP_016941562.1,XP_017014302.1,XP_002053158.1,XP_002070009.1,XP_002096866.2
OG0010687,XP_001954302.1,XP_017874518.1,XP_016950619.1,XP_017101766.1,XP_017846363.1,XP_017119539.1,XP_001978810.1,XP_017081611.1,XP_017056893.1,XP_001989560.1,XP_023165829.2,XP_017026559.1,NP_524221.1,XP_017145107.1,XP_001999791.1,XP_017968295.1,XP_030562870.1,XP_022214411.1,XP_002019287.1,XP_001359609.2,XP_016991869.1,XP_002038283.1,XP_020798537.1,XP_016033168.1,XP_016932254.1,XP_017009962.1,XP_002058675.1,XP_002072737.1,XP_002095934.1
